> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #10105@83] Going straight to cheese mine at [37, 33]
[B: #12917@83] Sensed 0 robots
[B: #11406@83] Can sense kingLoc [55, 28] ? false at distSquared 137
[B: #11118@83] Sensed 0 robots
[B: #13095@83] Sensed 0 robots
[B: #12999@83] Sensed 1 robots
[B: #10120@84] Sensed 0 robots
[B: #11096@84] Can sense kingLoc [55, 28] ? false at distSquared 1073
[B: #10819@84] Sensed 0 robots
[B: #13990@84] Can sense kingLoc [53, 30] ? false at distSquared 50
[B: #11456@84] Sensed 0 robots
[B: #11061@84] Can sense kingLoc [55, 28] ? false at distSquared 265
[B: #12806@84] Sensed 0 robots
[B: #10072@84] Can sense kingLoc [55, 28] ? false at distSquared 538
[B: #11028@84] Sensed 0 robots
[B: #10105@84] Going straight to cheese mine at [37, 33]
[B: #12917@84] Sensed 0 robots
[B: #11406@84] Can sense kingLoc [55, 28] ? false at distSquared 137
[B: #11118@84] Sensed 0 robots
[B: #13095@84] Sensed 1 robots
[B: #13095@84] Received 0 messages
[B: #12999@84] Sensed 1 robots
[B: #10120@85] Sensed 0 robots
[B: #11096@85] Can sense kingLoc [55, 28] ? false at distSquared 985
[B: #10819@85] Sensed 0 robots
[B: #13990@85] Can sense kingLoc [53, 30] ? false at distSquared 37
[B: #11456@85] Sensed 0 robots
[B: #11061@85] Can sense kingLoc [55, 28] ? false at distSquared 234
[B: #12806@85] Sensed 0 robots
[B: #10072@85] Can sense kingLoc [55, 28] ? false at distSquared 493
[B: #11028@85] Sensed 1 robots
[B: #11028@85] Received 0 messages
[B: #10105@85] Found a cheese mine at [37, 33]
[B: #10105@85] Going straight to cheese mine at [37, 33]
[B: #12917@85] Sensed 0 robots
[B: #11406@85] Can sense kingLoc [55, 28] ? false at distSquared 116
[B: #11118@85] Sensed 0 robots
[B: #13095@85] Sensed 0 robots
[B: #12999@85] Sensed 0 robots
[B: #10120@86] Sensed 0 robots
[B: #11096@86] Can sense kingLoc [55, 28] ? false at distSquared 985
[B: #10819@86] Sensed 0 robots
[B: #13990@86] Can sense kingLoc [53, 30] ? false at distSquared 37
[B: #11456@86] Sensed 0 robots
[B: #11061@86] Can sense kingLoc [55, 28] ? false at distSquared 205
[B: #12806@86] Sensed 0 robots
[B: #10072@86] Can sense kingLoc [55, 28] ? false at distSquared 450
[B: #11028@86] Sensed 2 robots
[B: #11028@86] Received 0 messages
[B: #10105@86] Going straight to cheese mine at [37, 33]
[B: #12917@86] Sensed 0 robots
[B: #11406@86] Can sense kingLoc [55, 28] ? false at distSquared 116
[B: #11118@86] Sensed 0 robots
[B: #13095@86] Sensed 0 robots
[B: #12999@86] Sensed 1 robots
[B: #12999@86] Received 0 messages
[B: #10120@87] Sensed 0 robots
[B: #11096@87] Can sense kingLoc [55, 28] ? false at distSquared 901
[B: #10819@87] Sensed 0 robots
[B: #13990@87] Can sense kingLoc [53, 30] ? false at distSquared 26
